place_loc,place_name
"{'lat': -7.2845392, 'lng': 112.7950675}",Musholla FMIPA
"{'lat': -7.284228899999999, 'lng': 112.7950075}",Sekretariat BEM Fakultas Sains ITS
"{'lat': -7.284406199999999, 'lng': 112.7943175}",LaFTiFA (Laboratorium Fisika Teori dan Filsafat Alam)
"{'lat': -7.284354, 'lng': 112.7952569}",Teater B
"{'lat': -7.284555800000001, 'lng': 112.795282}",Teater C
"{'lat': -7.283970200000002, 'lng': 112.7945307}",Sekretariat HIMKA ITS (K-200)
"{'lat': -7.285008099999998, 'lng': 112.7949528}",Departemen Matematika FMKSD ITS
"{'lat': -7.284738099999998, 'lng': 112.7956783}",Bursa Elektro ITS
"{'lat': -7.285395, 'lng': 112.794905}",Lapangan T Departemen Statistika ITS
"{'lat': -7.2851947, 'lng': 112.7954436}",DPR Teknik Elektro ITS
"{'lat': -7.2850327, 'lng': 112.7955389}",ITS Electrical Engineering Plaza
"{'lat': -7.285716499999999, 'lng': 112.7950598}",Jembatan Kayu Biologi-Statistik
"{'lat': -7.2849855, 'lng': 112.7942184}",Mipa Tower ITS
"{'lat': -7.284979, 'lng': 112.7942127}","Laboratorium Fisika Teori dan Filsafat Alam, Departemen Fisika, Institut Teknologi Sepuluh November"
"{'lat': -7.285062999999999, 'lng': 112.7956918}",ITS Electrical Lab B204 LIPIST
"{'lat': -7.284913700000001, 'lng': 112.7959156}",Laboratorium Konversi Energi Listrik (Electric Energy Conversion Laboratory)
"{'lat': -7.285333399999999, 'lng': 112.7957065}",Gamelan Teknik Elektro ITS
"{'lat': -7.2852562, 'lng': 112.7958872}",Bayucaraka ITS
"{'lat': -7.2849153, 'lng': 112.7959616}",Lan Komputer Dan Telematika B201
"{'lat': -7.284959199999999, 'lng': 112.7959865}",Lab B402 FTE Institut Teknologi Sepuluh Nopember
"{'lat': -7.284960900000001, 'lng': 112.7960012}",Lab Jaringan Telekomunikasi -ITS
"{'lat': -7.285095299999999, 'lng': 112.7960398}",Faculty of Electrical Technology
"{'lat': -7.284909999999999, 'lng': 112.7961092}",Gedung B Elektro ITS
"{'lat': -7.285108299999999, 'lng': 112.7961435}",Departemen Teknik Elektro ITS
"{'lat': -7.285542599999999, 'lng': 112.7957129}",Kantin Elektro ITS
"{'lat': -7.284971499999998, 'lng': 112.796187}",Power System Simulation Laboratory
"{'lat': -7.285266900000001, 'lng': 112.7961544}",Gedung AJ Elektro ITS
"{'lat': -7.284548799999999, 'lng': 112.795966}",Gazebo Mesin
"{'lat': -7.2842011, 'lng': 112.7960991}",Kantin Ijo Teknik Fisika
"{'lat': -7.2845119, 'lng': 112.7965058}",Departemen Teknik Mesin FTI ITS
"{'lat': -7.283947899999999, 'lng': 112.7958715}",Musholla Teknik Fisika ITS
"{'lat': -7.283985099999999, 'lng': 112.7964961}",Laboratorium Workshop Instrumentasi Teknik Fisika ITS
"{'lat': -7.283754099999999, 'lng': 112.795877}",VibrasticLab ITS
"{'lat': -7.283753800000001, 'lng': 112.7961729}",Laboratorium Rekayasa Bahan ITS
"{'lat': -7.2837435, 'lng': 112.7962551}",Laboratorium Rekayasa Instrumentasi dan Kontrol
"{'lat': -7.283744, 'lng': 112.7956036}",Teknik Fisika ITS
"{'lat': -7.2843452, 'lng': 112.7959576}",Bursa Mesin ITS
"{'lat': -7.284333900000001, 'lng': 112.7961174}",Gedung D ITS
"{'lat': -7.2843526, 'lng': 112.7956629}",Lobby TU Departemen Teknik Mesin ITS
"{'lat': -7.283661200000002, 'lng': 112.795727}",Departemen Teknik Fisika FTI
"{'lat': -7.284126099999999, 'lng': 112.7957012}",Gedung C ITS
"{'lat': -7.283879499999999, 'lng': 112.7955362}",Lobby TU Departemen Kimia FMIPA ITS
"{'lat': -7.283917600000001, 'lng': 112.7960904}",Gazebo Teknik Fisika ITS
"{'lat': -7.283700300000001, 'lng': 112.7969622}",Parkiran Motor Teknik Fisika ITS
"{'lat': -7.2837569, 'lng': 112.7960486}",Gedung E ITS
"{'lat': -7.283792600000003, 'lng': 112.7962191}","Simulation and Computation Laboratory, Teknik Fisika"
"{'lat': -7.2837783, 'lng': 112.7962151}","Laboratorium Fisika Rekayasa, Teknik Fisika ITS"
"{'lat': -7.283782899999998, 'lng': 112.7962218}",Laboratorium Simulasi Dan Komputasi Teknik Fisika ITS
"{'lat': -7.283772999999999, 'lng': 112.7962198}",Computation And Simulation Laboratory (E205)
"{'lat': -7.2837161, 'lng': 112.795957}",Photonics Engineering Laboratoty
